,exercise_name,crossfit_session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
51,Deadlift,Crossfit,Cardio,Medicine Ball,Upper body,Hold,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
52,Thrusters,Aerobic Body Building,Cardio,Barbell,Lower body,Push,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
53,V-Bar Pull-Ups,Strength,Warm-up,Barbell,Upper body,Pull,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
54,Strict T2B,Crossfit,Mobility,Barbell,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
55,Rowing,Strength,Strength,Barbell,Full body,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
56,Rope Jumping,Conditioning,Warm-up,Kettlebell,Core,Push,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
57,Sled Drag,Crossfit,Cardio,Bodyweight,Lower body,Pull,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
58,Front Rack Lunge,Crossfit,Warm-up,Barbell,Lower body,Push,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
59,Wall Ball Sit-Ups,Aerobic Body Building,Cardio,Barbell,Core,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
60,Strict Muscle-Up,Strength,Warm-up,Bodyweight,Core,Hold,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
61,Cossack Squat,Strength,Mobility,Barbell,Upper body,Pull,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
62,Kettlebell Turkish Get-Up,Conditioning,Strength,Kettlebell,Core,Hold,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
63,V-Bar Pull-Ups,Strength,Mobility,Medicine Ball,Full body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
64,Russian Twists,Gymnastics,Cardio,Barbell,Full body,Push,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
65,Farmer's Carry,Crossfit,Cardio,Medicine Ball,Full body,Pull,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
66,Sled Pull,Gymnastics,Warm-up,Medicine Ball,Full body,Stretch,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
67,Incline Bench Press,Conditioning,Strength,Dumbbells,Upper body,Hold,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
68,Front Rack Lunge,Aerobic Body Building,Strength,Pull-up Bar,Upper body,Stretch,"Biceps, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
69,Bulgarian Split Squats,Strength,Cardio,Medicine Ball,Upper body,Hold,"Upper Chest, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
70,Pike Push-Ups,Strength,Cardio,Pull-up Bar,Upper body,Stretch,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
71,Pistol Hold,Strength,Strength,Bodyweight,Upper body,Hold,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
72,Step-Ups,Conditioning,Strength,Resistance Band,Core,Stretch,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
73,Dumbbell Power Clean,Olympic Weightlifting,Cardio,Barbell,Full body,Push,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
74,Tire Drag,Olympic Weightlifting,Mobility,Dumbbells,Upper body,Hold,"Lower Back, Core",Keep your back straight and hinge at the hips for proper form.
75,Box Squat,Strength,Strength,Dumbbells,Full body,Pull,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
76,Rope Climbs with Holds,Strength,Strength,Resistance Band,Core,Stretch,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
77,Jerk Balance,Aerobic Body Building,Warm-up,Resistance Band,Full body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
78,Hollow Body to Superman,Strength,Strength,Kettlebell,Full body,Push,"Biceps, Shoulders",Stretch before and after this exercise for better mobility and recovery.
79,Sandbag Squats,Aerobic Body Building,Mobility,Pull-up Bar,Core,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
80,Sledgehammer Slams,Crossfit,Cardio,Kettlebell,Lower body,Pull,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
81,Overhead Squat,Conditioning,Cardio,Resistance Band,Full body,Pull,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
82,Pistol Hold,Aerobic Body Building,Strength,Bodyweight,Lower body,Pull,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
83,Deadlift,Olympic Weightlifting,Warm-up,Pull-up Bar,Core,Hold,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
84,Scapular Pull-Up,Strength,Strength,Kettlebell,Core,Stretch,"Core, Shoulders",Stretch before and after this exercise for better mobility and recovery.
85,Weighted Pistol Squat,Conditioning,Mobility,Pull-up Bar,Upper body,Stretch,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
86,Thrusters,Aerobic Body Building,Cardio,Medicine Ball,Full body,Push,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
87,Good Mornings,Crossfit,Strength,Bodyweight,Core,Hold,"Lats, Biceps",Warm-up adequately before performing this exercise to prevent injury.
88,One Arm Dumbbell Snatch,Gymnastics,Cardio,Barbell,Upper body,Pull,"Glutes, Hamstrings",Perform the movement with a full range of motion while maintaining proper posture.
89,Barbell Front Rack Carry,Strength,Mobility,Medicine Ball,Core,Stretch,"Hamstrings, Glutes",Keep your back straight and hinge at the hips for proper form.
90,One Arm Dumbbell Snatch,Crossfit,Warm-up,Medicine Ball,Lower body,Hold,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
91,Snatch,Conditioning,Warm-up,Resistance Band,Core,Pull,"Shoulders, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
92,Barbell Thruster,Strength,Strength,Pull-up Bar,Core,Hold,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
93,Broad Jumps,Conditioning,Mobility,Bodyweight,Full body,Pull,"Hamstrings, Glutes",Perform the movement with a full range of motion while maintaining proper posture.
94,Inverted Shoulder Press,Conditioning,Mobility,Medicine Ball,Full body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
95,Farmer Walk with Dumbbells,Olympic Weightlifting,Strength,Medicine Ball,Full body,Hold,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
96,Bear Crawl Drags,Conditioning,Warm-up,Medicine Ball,Core,Push,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
97,Sandbag Squats,Olympic Weightlifting,Warm-up,Pull-up Bar,Lower body,Pull,"Glutes, Hamstrings",Maintain a strong core throughout the exercise for better stability.
98,Overhead Press,Olympic Weightlifting,Strength,Barbell,Upper body,Hold,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
99,Weighted Vest Burpees,Olympic Weightlifting,Warm-up,Barbell,Upper body,Hold,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
100,Floor Press,Gymnastics,Strength,Pull-up Bar,Core,Stretch,"Biceps, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
101,Decline Push-Ups,Crossfit,Warm-up,Pull-up Bar,Core,Hold,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
102,Dumbbell Deadlift,Gymnastics,Mobility,Pull-up Bar,Lower body,Pull,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
103,Plank Hold,Olympic Weightlifting,Mobility,Kettlebell,Full body,Hold,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
104,Pistol Hold,Gymnastics,Strength,Bodyweight,Core,Push,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
105,Strict Ring Muscle-Ups,Gymnastics,Strength,Dumbbells,Upper body,Pull,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
106,Clapping Push-Ups,Olympic Weightlifting,Strength,Medicine Ball,Core,Pull,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
107,Pistol Hold,Olympic Weightlifting,Mobility,Medicine Ball,Core,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
108,Air Squats,Gymnastics,Cardio,Resistance Band,Full body,Push,"Hamstrings, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
109,Push-Up Claps,Gymnastics,Warm-up,Medicine Ball,Upper body,Hold,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
110,Kettlebell Swings,Conditioning,Mobility,Barbell,Lower body,Pull,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
111,Strict Press,Strength,Mobility,Medicine Ball,Upper body,Hold,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
112,Kettlebell Turkish Get-Up,Conditioning,Strength,Barbell,Lower body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
113,Hang Power Snatch,Conditioning,Mobility,Pull-up Bar,Upper body,Stretch,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
114,Jump Rope,Gymnastics,Warm-up,Dumbbells,Core,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
115,Incline Bench Press,Gymnastics,Warm-up,Resistance Band,Upper body,Push,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
116,Dumbbell Walking Lunge,Strength,Strength,Dumbbells,Upper body,Pull,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
117,Broad Jumps,Conditioning,Mobility,Kettlebell,Lower body,Pull,"Core, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
118,Straight Leg Deadlift,Aerobic Body Building,Warm-up,Kettlebell,Lower body,Pull,"Core, Shoulders",Keep your back straight and hinge at the hips for proper form.
119,Band-Assisted Pull-Ups,Crossfit,Mobility,Bodyweight,Upper body,Pull,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
120,Explosive Push-Ups,Crossfit,Warm-up,Bodyweight,Core,Push,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
121,Power Jerk,Aerobic Body Building,Warm-up,Pull-up Bar,Full body,Hold,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
122,Front Squat,Gymnastics,Warm-up,Resistance Band,Lower body,Hold,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
123,Seated Row,Strength,Warm-up,Dumbbells,Core,Stretch,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
124,Sandbag Carry,Gymnastics,Cardio,Bodyweight,Lower body,Stretch,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
125,Pistol Hold,Strength,Mobility,Barbell,Core,Stretch,"Lower Back, Core",Warm-up adequately before performing this exercise to prevent injury.
126,Wall Balls,Conditioning,Mobility,Medicine Ball,Lower body,Push,"Shoulders, Triceps",Keep your back straight and hinge at the hips for proper form.
127,Box Jumps,Conditioning,Strength,Pull-up Bar,Full body,Push,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
128,Turkish Sit-Up,Aerobic Body Building,Mobility,Barbell,Upper body,Pull,"Glutes, Hamstrings","Ensure your breathing is controlled, exhaling during the exertion phase."
129,Sledgehammer Slams,Gymnastics,Warm-up,Kettlebell,Upper body,Stretch,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
130,Kipping Pull-Ups,Conditioning,Strength,Resistance Band,Full body,Pull,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
131,Sledgehammer Slams,Olympic Weightlifting,Strength,Bodyweight,Full body,Hold,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
132,Handstand Hold,Aerobic Body Building,Strength,Medicine Ball,Lower body,Hold,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
133,Good Mornings,Aerobic Body Building,Cardio,Pull-up Bar,Core,Hold,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
134,Deficit Deadlift,Olympic Weightlifting,Warm-up,Medicine Ball,Lower body,Hold,"Upper Chest, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
135,Single Arm Snatch,Conditioning,Cardio,Kettlebell,Full body,Push,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
136,Deficit Deadlift,Gymnastics,Cardio,Kettlebell,Core,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
137,Double Dumbbell Deadlift,Conditioning,Cardio,Resistance Band,Lower body,Push,"Glutes, Hamstrings",Start with a lighter weight or progression if you're new to this exercise.
138,Hang Power Snatch,Olympic Weightlifting,Mobility,Medicine Ball,Upper body,Stretch,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
139,Turkish Sit-Up,Strength,Strength,Bodyweight,Lower body,Hold,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
140,Jerk Balance,Strength,Cardio,Dumbbells,Full body,Hold,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
141,Overhead Press,Gymnastics,Strength,Medicine Ball,Lower body,Push,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
142,Deficit Push-Ups,Gymnastics,Strength,Medicine Ball,Upper body,Push,"Chest, Triceps",Maintain a strong core throughout the exercise for better stability.
143,Wall Ball Cleans,Aerobic Body Building,Mobility,Medicine Ball,Lower body,Stretch,"Lower Back, Core",Start with a lighter weight or progression if you're new to this exercise.
144,Split Squats,Conditioning,Mobility,Barbell,Lower body,Stretch,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
145,Lunge Twists,Conditioning,Warm-up,Resistance Band,Upper body,Stretch,"Glutes, Hamstrings",Stretch before and after this exercise for better mobility and recovery.
146,Superman Hold,Strength,Strength,Barbell,Core,Push,"Shoulders, Triceps",Warm-up adequately before performing this exercise to prevent injury.
147,Tire Drag,Strength,Mobility,Dumbbells,Lower body,Pull,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
148,Snatch,Crossfit,Cardio,Dumbbells,Full body,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
149,Weighted Roll-Outs,Gymnastics,Cardio,Bodyweight,Lower body,Pull,"Chest, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
150,Wall Balls,Aerobic Body Building,Strength,Pull-up Bar,Lower body,Hold,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
151,Pull-ups,Olympic Weightlifting,Mobility,Kettlebell,Lower body,Stretch,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
152,Front Squat,Olympic Weightlifting,Mobility,Barbell,Upper body,Pull,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
153,Overhead Squat,Gymnastics,Mobility,Barbell,Lower body,Hold,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
154,Reverse Hyper,Aerobic Body Building,Cardio,Medicine Ball,Core,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
155,Toes to Rings,Conditioning,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
156,Banded Good Mornings,Gymnastics,Warm-up,Bodyweight,Upper body,Hold,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
157,Bar Muscle-Ups,Olympic Weightlifting,Warm-up,Medicine Ball,Core,Pull,"Quads, Glutes",Keep your back straight and hinge at the hips for proper form.
158,Sled Push,Conditioning,Cardio,Resistance Band,Upper body,Push,"Shoulders, Triceps","Make sure to use explosive power when needed, especially for dynamic exercises."
159,Superman Hold,Strength,Strength,Medicine Ball,Core,Hold,"Hamstrings, Glutes",Stretch before and after this exercise for better mobility and recovery.
160,Kettlebell Figure 8,Crossfit,Mobility,Resistance Band,Upper body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
161,Barbell Thruster,Gymnastics,Mobility,Bodyweight,Upper body,Push,"Quads, Glutes",Keep your back straight and hinge at the hips for proper form.
162,High Pull,Gymnastics,Strength,Resistance Band,Upper body,Stretch,"Chest, Triceps",Warm-up adequately before performing this exercise to prevent injury.
163,Hollow Rock,Gymnastics,Mobility,Medicine Ball,Lower body,Stretch,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
164,Overhead Carries,Olympic Weightlifting,Mobility,Resistance Band,Full body,Stretch,"Lats, Biceps",Perform the movement with a full range of motion while maintaining proper posture.
165,Overhead Kettlebell Squats,Crossfit,Strength,Medicine Ball,Upper body,Pull,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
166,Seated Kettlebell Press,Aerobic Body Building,Mobility,Kettlebell,Upper body,Hold,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
167,Squat Snatch,Crossfit,Warm-up,Kettlebell,Upper body,Pull,"Upper Chest, Shoulders",Maintain a strong core throughout the exercise for better stability.
168,Seated Kettlebell Press,Strength,Strength,Barbell,Upper body,Stretch,"Hamstrings, Glutes",Start with a lighter weight or progression if you're new to this exercise.
169,Box Handstand Push-Up,Conditioning,Warm-up,Pull-up Bar,Upper body,Pull,"Chest, Triceps",Keep your back straight and hinge at the hips for proper form.
170,Squat Snatch,Gymnastics,Cardio,Barbell,Full body,Stretch,"Upper Chest, Shoulders",Stretch before and after this exercise for better mobility and recovery.
171,Axle Bar Deadlift,Conditioning,Warm-up,Resistance Band,Core,Hold,"Biceps, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
172,Tire Flips,Crossfit,Cardio,Bodyweight,Core,Stretch,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
173,Dumbbell Deadlift,Aerobic Body Building,Cardio,Barbell,Lower body,Stretch,"Quads, Glutes",Start with a lighter weight or progression if you're new to this exercise.
174,Barbell Lunges,Gymnastics,Strength,Bodyweight,Core,Pull,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
175,Jerk Balance,Olympic Weightlifting,Warm-up,Dumbbells,Upper body,Stretch,"Lats, Biceps",Start with a lighter weight or progression if you're new to this exercise.
176,Weighted Pistol Squat,Aerobic Body Building,Strength,Barbell,Full body,Push,"Quads, Glutes",Maintain a strong core throughout the exercise for better stability.
177,Bulgarian Split Squats,Crossfit,Cardio,Medicine Ball,Core,Stretch,"Core, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
178,Handstand Hold,Crossfit,Warm-up,Resistance Band,Upper body,Hold,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
179,Overhead Kettlebell Squats,Gymnastics,Mobility,Kettlebell,Upper body,Pull,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
180,Zercher Squats,Strength,Cardio,Bodyweight,Upper body,Stretch,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
181,Alternating Dumbbell Snatch,Gymnastics,Strength,Resistance Band,Upper body,Push,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
182,Snatch Balance,Conditioning,Mobility,Dumbbells,Full body,Pull,"Chest, Triceps","Ensure your breathing is controlled, exhaling during the exertion phase."
183,Ring Muscle-Ups,Conditioning,Warm-up,Bodyweight,Core,Pull,"Hamstrings, Glutes","Focus on controlling the movement to avoid injury, especially when using heavy weights."
184,Toes to Rings,Conditioning,Warm-up,Barbell,Upper body,Push,"Upper Chest, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
185,Kettlebell Turkish Get-Up,Gymnastics,Warm-up,Dumbbells,Upper body,Stretch,"Shoulders, Triceps",Stretch before and after this exercise for better mobility and recovery.
186,Prowler Push/Pull,Gymnastics,Warm-up,Pull-up Bar,Full body,Stretch,"Biceps, Shoulders",Keep your back straight and hinge at the hips for proper form.
